status_value,feeback,company,salary,position
置顶,,万科企业股份有限公司,15000-30000,java开发工程师
置顶,,翔容建营销策划(北京)有限公司,8001-10000,软件开发工程师
置顶,,万科企业股份有限公司,15000-30000,数据库管理工程师DBA
置顶,,万科企业股份有限公司,15000-30000,前端开发工程（微信小程序）
最新,98%,广州艾科网络科技有限公司,4001-6000,急招
最新,,优购科技有限公司,15000-25000,高级研发工程师（
最新,,清影医疗科技(深圳)有限公司,10000-20000,后端工程师
最新,,深圳市瑞驰信息技术有限公司,6000-12000,开发工程师
最新,81%,深圳易通财富软件有限公司,15000-20000,开发工程师
最新,100%,中青才智教育投资(北京)有限公司,8001-10000,全栈人工智能AI工程师实习生
最新,,深圳市汇通互联网信息服务有限公司,15001-20000,高级
最新,,浪潮集团有限公司,12000-18000,开发工程师
最新,79%,深圳市明源软件股份有限公司,16000-22000,高级开发工程师
最新,99%,广州动点网络科技有限公司,6001-8000,开发工程师助理
最新,,深圳市无极云区块链互联网技术开发有限公司,10001-15000,量化开发工程师
最新,,深圳合纵能源技术有限公司,8000-15000,开发工程师
最新,,深圳市无极云区块链互联网技术开发有限公司,20000-40000,高级
最新,,深圳码隆科技有限公司,20000-40000,高级
最新,,深圳市华诚鹏辉科技有限公司,25000-35000,工程师（国外）
最新,,亚联财小额贷款,8000-15000,工程师
最新,,深圳市天方达健信科技有限公司,6000-12000,工程师
最新,,善理通益信息科技(深圳)有限公司,8001-10000,开发工程师
最新,,深圳前海中清龙图教育科技有限公司,12000-16000,开发讲师
最新,,深圳市无极云区块链互联网技术开发有限公司,15000-25000,GO+
招聘中,63%,中软国际科技服务有限公司,面议,开发工程师
最新,,深圳市华创科新科技有限公司,10001-15000,开发工程师
最新,,深圳市有限元科技有限公司,8000-16000,软件开发工程师
最新,,深圳锚链科技有限公司,12000-18000,初级中级开发
招聘中,100%,深圳市深为软件技术有限公司,6001-8000,初级
招聘中,100%,深圳市深为软件技术有限公司,6001-8000,开发工程师（项目奖金）
招聘中,100%,深圳市深为软件技术有限公司,6001-8000,开发工程师
招聘中,100%,深圳市深为软件技术有限公司,6001-8000,工程师
最新,100%,深圳市佳创科技有限公司,6001-8000,爬虫工程师(双休 7险1金)
最新,100%,深圳市佳创科技有限公司,6001-8000,初级
最新,100%,深圳市佳创科技有限公司,6001-8000,初级开发工程师
最新,100%,深圳市佳创科技有限公司,6001-8000,工程师
最新,100%,深圳市佳创科技有限公司,4001-6000,开发工程师
最新,99%,广州海度网络科技有限公司,4001-6000,急招
最新,99%,广州海度网络科技有限公司,4001-6000,急招
最新,98%,广州动点网络科技有限公司,4001-6000,急招
最新,98%,广州海度网络科技有限公司,4001-6000,开发工程师助理
最新,99%,广州动点网络科技有限公司,4001-6000,初级
招聘中,,平安科技(深圳)有限公司,15001-20000,开发工程师（深圳）
最新,,深圳市环球易购电子商务有限公司,10001-15000,开发工程师
招聘中,96%,深圳市铺铺旺电子商务有限公司,20001-30000,高级工程师 （后台开发）
最新,99%,广州海度网络科技有限公司,4001-6000,开发助理
招聘中,100%,深圳市源极光科技有限公司,10001-15000,开发工程师（深圳）
招聘中,99%,深圳市八斗才数据有限公司,10001-15000,开发工程师（深圳）
招聘中,100%,深圳市铺铺旺电子商务有限公司,30001-50000,高级工程师 （后台开发）
招聘中,93%,深圳市铺铺旺电子商务有限公司,30001-50000,后台架构师 （后台开发）
最新,99%,广州艾科网络科技有限公司,4001-6000,开发工程师助理/双休
招聘中,99%,深圳市芒柠科技有限公司,10001-15000,开发工程师（深圳）
招聘中,99%,深圳市芒柠科技有限公司,10001-15000,开发工程师（深圳）
招聘中,99%,深圳市源极光科技有限公司,10000-15000,工程师（深圳）
最新,97%,广州百单网互联网科技有限公司,4000-6000,开发工程师助理
招聘中,100%,深圳市芒柠科技有限公司,10000-15000,开发工程师
招聘中,96%,500.com集团,10000-20000,开发工程师
招聘中,88%,深圳市八斗才数据有限公司,10001-15000,开发工程师
招聘中,99%,深圳市源极光科技有限公司,10001-15000,开发工程师
招聘中,86%,深圳市铺铺旺电子商务有限公司,20001-30000,后台架构师 （后台开发）
